time,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
53,642.38,1582.33,1395.45,553.87,2388.06,9068.45,47.31,522.3,2388.05,8152.02,8.4169,393,39.11,23.3092
54,641.8,1590.77,1400.98,553.78,2387.99,9073.05,47.41,522.21,2387.98,8150.8,8.4129,392,39.01,23.4177
55,642.19,1585.93,1399.74,554.13,2387.98,9069.34,47.09,522.02,2387.94,8144.65,8.3869,392,38.99,23.42
56,642.53,1584.43,1395.08,554.66,2388.02,9064.3,47.37,522.45,2388.01,8143.72,8.4122,391,38.94,23.2743
57,643.02,1585.71,1398.43,553.87,2387.99,9069.75,47.25,522.5,2388.08,8152.99,8.41,392,39.12,23.3419
58,642.09,1587.14,1400.97,555.14,2387.99,9066.81,47.19,523.0,2388.0,8151.29,8.383,392,39.06,23.2486
59,642.29,1585.96,1397.92,554.73,2388.0,9070.86,47.29,521.81,2387.99,8152.7,8.433,390,39.22,23.4702
60,642.19,1581.21,1396.21,554.44,2388.01,9074.64,47.24,521.99,2388.0,8152.6,8.3696,390,39.11,23.2723
61,642.08,1586.13,1402.82,553.9,2387.98,9068.88,47.26,522.32,2388.02,8149.72,8.4018,392,39.06,23.4476
62,642.15,1585.67,1390.39,553.81,2388.0,9073.22,47.29,522.74,2387.97,8144.15,8.4175,391,38.99,23.3247
63,642.36,1578.24,1400.55,554.64,2388.03,9062.13,47.17,521.82,2388.01,8151.83,8.4172,391,39.21,23.3449
64,642.54,1589.13,1399.36,554.43,2388.03,9065.16,47.28,521.96,2387.98,8149.32,8.4112,392,39.1,23.4167
65,642.31,1578.07,1396.6,554.11,2388.01,9071.37,47.28,522.18,2387.98,8150.85,8.4259,390,39.0,23.5043
66,642.54,1586.72,1399.23,554.53,2387.98,9062.81,47.42,522.88,2387.94,8148.32,8.4027,393,39.05,23.3637
67,642.61,1582.7,1402.68,554.02,2388.0,9070.66,47.35,522.2,2388.01,8149.89,8.3811,391,38.94,23.2758
68,641.8,1586.66,1395.57,554.02,2388.03,9072.02,47.17,521.64,2388.05,8144.9,8.393,391,39.09,23.4418
69,642.22,1593.46,1403.5,554.47,2388.04,9070.6,47.36,522.14,2387.97,8154.01,8.4268,392,38.96,23.3819
70,642.09,1583.19,1399.04,554.01,2388.05,9063.46,47.25,521.82,2388.05,8151.95,8.363,391,39.01,23.447
71,641.53,1584.6,1398.9,554.66,2387.95,9068.88,47.37,522.31,2388.01,8155.14,8.3882,391,39.03,23.406
72,641.78,1582.54,1406.47,554.88,2387.98,9066.14,47.1,522.54,2388.01,8146.52,8.4404,391,38.98,23.3463
73,642.12,1588.4,1401.72,554.39,2388.03,9066.59,47.12,521.77,2388.06,8151.89,8.4095,392,39.15,23.4238
74,642.1,1587.52,1407.77,553.65,2388.01,9073.81,47.28,522.51,2388.01,8151.1,8.41,394,39.07,23.4331
75,642.29,1582.94,1402.11,554.73,2388.05,9068.74,47.52,522.01,2388.01,8148.23,8.3808,392,38.93,23.372
76,642.11,1585.7,1407.16,554.14,2387.98,9075.29,47.36,522.26,2388.01,8148.71,8.3883,390,39.02,23.4115
77,642.36,1588.83,1400.6,554.47,2388.06,9072.36,47.29,522.27,2387.99,8151.03,8.4149,392,38.91,23.3784
78,642.14,1583.3,1399.64,554.86,2388.07,9065.49,47.33,522.03,2388.05,8156.05,8.4278,392,38.94,23.501
79,642.48,1588.28,1404.99,553.91,2388.02,9070.11,47.2,521.78,2388.01,8144.19,8.45,392,38.97,23.3182
80,642.07,1585.35,1402.29,553.99,2388.02,9067.14,47.28,522.23,2388.05,8149.84,8.4374,392,39.01,23.4108
81,641.57,1585.23,1408.11,554.77,2387.98,9072.96,47.3,522.41,2388.01,8147.82,8.402,392,38.91,23.4851
82,642.13,1588.93,1398.88,554.92,2388.05,9072.86,47.27,522.36,2388.02,8146.19,8.4272,392,38.88,23.3642
83,641.94,1588.35,1406.01,554.04,2388.02,9062.67,47.32,522.3,2388.01,8151.0,8.4268,392,38.82,23.3892
84,642.9,1586.44,1400.85,553.75,2388.02,9072.09,47.13,522.25,2388.03,8150.99,8.4321,392,39.07,23.3648
85,642.75,1583.4,1402.17,554.85,2388.0,9068.09,47.22,522.29,2388.05,8145.23,8.3837,393,38.98,23.3774
86,641.85,1590.03,1397.76,555.11,2388.0,9070.16,47.34,522.19,2388.04,8151.41,8.3789,392,39.07,23.2998
87,642.23,1578.42,1404.01,554.16,2387.99,9074.03,47.37,522.15,2388.0,8143.4,8.404,392,38.83,23.43
88,642.9,1593.15,1402.65,553.25,2387.99,9073.29,47.31,522.26,2388.02,8147.3,8.4294,392,38.78,23.2949
89,642.34,1593.84,1397.17,554.59,2387.97,9066.73,47.4,521.95,2388.03,8146.74,8.4486,392,38.92,23.416
90,641.88,1580.81,1402.41,554.92,2388.01,9067.93,47.22,522.44,2388.05,8154.66,8.4045,393,38.96,23.3656
91,641.75,1592.03,1396.28,553.72,2388.04,9072.14,47.22,521.88,2387.94,8151.57,8.3933,393,39.02,23.2491
92,642.45,1587.27,1397.32,554.28,2388.02,9067.38,47.35,521.89,2388.02,8147.47,8.3913,392,39.07,23.4673
93,642.7,1587.11,1402.29,554.17,2388.02,9076.52,47.43,522.23,2388.05,8151.3,8.4343,393,38.93,23.3579
94,642.43,1588.87,1401.99,554.2,2387.96,9067.34,47.31,522.37,2388.0,8150.18,8.4131,393,39.0,23.2955
95,642.19,1583.66,1400.37,554.65,2388.03,9066.23,47.31,522.32,2388.0,8151.27,8.4025,391,38.95,23.4575
96,641.78,1582.22,1392.46,554.1,2388.04,9072.33,47.39,522.64,2388.04,8148.17,8.4236,392,38.99,23.4586
97,641.91,1584.35,1401.32,553.96,2388.03,9070.45,47.2,522.02,2388.05,8141.88,8.4003,392,39.03,23.3957
98,642.46,1587.27,1400.02,553.65,2388.05,9069.65,47.14,522.52,2387.98,8145.74,8.4259,392,38.73,23.2952
99,642.55,1586.95,1402.16,554.15,2388.0,9074.67,47.51,521.81,2388.0,8154.63,8.4309,392,38.74,23.4321
100,642.15,1582.66,1402.89,554.86,2388.02,9070.04,47.32,521.84,2387.98,8149.23,8.4359,391,39.08,23.3657
101,642.05,1593.77,1400.18,553.94,2388.04,9070.62,47.31,522.53,2388.04,8144.28,8.4318,392,38.8,23.3621
102,642.78,1592.88,1395.88,554.68,2388.04,9071.56,47.34,522.4,2388.03,8149.04,8.4509,392,38.96,23.3109
103,642.7,1583.74,1405.56,554.22,2388.01,9068.31,47.31,521.74,2388.09,8149.51,8.3895,392,39.03,23.4005
104,642.23,1582.98,1394.15,553.65,2388.0,9063.86,47.27,522.0,2388.02,8146.09,8.43,392,38.94,23.2999
105,642.35,1583.76,1401.92,554.37,2388.01,9079.02,47.3,522.04,2388.06,8153.23,8.3575,393,38.92,23.3385
106,642.63,1583.08,1409.0,554.22,2387.97,9068.99,47.19,522.88,2388.01,8155.25,8.4244,392,38.82,23.4925
107,642.16,1587.77,1402.69,554.15,2388.07,9072.66,47.26,522.24,2388.01,8151.87,8.4425,393,38.93,23.3755
108,642.39,1587.75,1401.06,554.13,2388.01,9075.56,47.34,522.64,2387.96,8147.96,8.3605,391,38.93,23.1841
109,642.71,1586.93,1395.74,554.65,2387.97,9072.98,47.27,522.46,2388.03,8153.36,8.3714,392,39.04,23.3796
110,642.65,1592.97,1414.46,554.33,2388.07,9072.55,47.27,522.15,2388.06,8151.43,8.4191,391,38.92,23.3376
111,642.1,1590.37,1402.57,554.17,2387.98,9070.54,47.07,522.13,2388.04,8150.91,8.4636,392,38.72,23.4173
112,642.28,1578.72,1399.47,554.46,2388.05,9070.71,47.08,521.74,2387.98,8148.43,8.3952,392,38.95,23.2612
113,642.56,1580.83,1402.84,554.2,2388.09,9071.13,47.41,521.62,2388.08,8151.61,8.4005,392,38.92,23.402
114,642.44,1588.32,1405.78,554.95,2388.01,9074.17,47.27,522.17,2388.02,8151.74,8.4296,393,39.05,23.3857
115,642.14,1579.89,1405.25,553.3,2387.98,9065.46,47.49,521.37,2388.02,8147.37,8.4168,394,38.97,23.3281
116,642.18,1590.92,1400.08,554.0,2388.03,9069.41,47.36,522.25,2388.03,8152.87,8.3865,394,38.81,23.348
117,642.51,1595.71,1396.29,554.1,2388.01,9065.86,47.41,522.23,2388.1,8151.27,8.3981,394,38.87,23.3375
118,642.33,1589.6,1396.89,554.32,2388.03,9072.27,47.38,521.46,2388.09,8152.08,8.416,391,38.89,23.2085
119,641.84,1579.78,1400.87,553.82,2388.04,9068.05,47.27,522.02,2388.02,8151.27,8.4061,392,38.65,23.3169
120,642.02,1588.45,1397.46,553.51,2388.03,9071.64,47.26,522.0,2388.02,8149.76,8.4042,390,38.95,23.3628
121,642.21,1587.33,1408.25,554.3,2387.99,9067.31,47.27,522.07,2388.06,8156.61,8.4364,393,38.87,23.4142
122,642.58,1592.39,1403.24,554.64,2388.02,9063.65,47.46,521.76,2388.05,8150.76,8.4226,393,38.82,23.4416
123,642.56,1582.1,1400.06,553.78,2388.03,9067.19,47.33,522.12,2388.05,8150.27,8.411,391,39.02,23.3709
124,642.25,1592.99,1408.2,553.23,2388.04,9072.88,47.42,521.63,2388.02,8149.35,8.4018,392,38.92,23.3578
125,642.62,1584.19,1402.5,553.96,2387.94,9067.53,47.43,521.7,2388.08,8154.28,8.3899,392,38.78,23.3456
126,642.37,1582.3,1397.52,553.59,2388.02,9070.67,47.42,522.16,2388.02,8152.25,8.3736,393,38.87,23.34
127,642.6,1581.37,1402.39,553.71,2388.04,9069.47,47.41,521.89,2388.03,8150.03,8.4232,392,39.05,23.4135
128,642.51,1588.19,1396.92,553.9,2388.04,9072.15,47.39,521.6,2388.01,8150.53,8.4411,391,38.96,23.3882
129,642.42,1584.1,1400.77,553.95,2388.01,9069.0,47.26,521.83,2388.01,8154.95,8.4104,391,39.02,23.2436
130,642.08,1580.49,1406.97,554.12,2387.96,9070.22,47.24,521.91,2388.01,8148.93,8.3917,392,38.93,23.3635
131,642.88,1591.82,1403.05,554.21,2388.03,9070.12,47.31,522.42,2388.03,8147.75,8.3861,392,38.95,23.3784
132,642.89,1582.94,1408.8,553.78,2388.04,9066.72,47.43,521.71,2388.06,8153.77,8.401,393,38.67,23.3978
133,642.69,1591.77,1398.76,554.34,2388.03,9069.62,47.37,521.91,2388.05,8151.98,8.4459,393,39.08,23.2516
134,642.76,1587.73,1406.99,554.34,2388.07,9077.65,47.14,521.67,2388.09,8147.45,8.443,393,39.0,23.3091
135,642.28,1584.28,1405.56,553.93,2388.04,9077.44,47.39,521.74,2388.03,8155.39,8.3877,392,38.95,23.3403
136,642.34,1586.39,1405.32,553.76,2388.1,9076.53,47.46,521.98,2388.02,8147.06,8.4344,393,38.9,23.4535
137,642.02,1587.49,1399.57,553.59,2388.03,9070.37,47.44,521.78,2388.06,8151.84,8.3974,393,38.87,23.3354
138,642.54,1586.83,1410.62,553.56,2388.07,9088.71,47.28,521.56,2388.06,8150.35,8.4162,393,38.81,23.3105
139,642.07,1582.49,1407.34,554.32,2388.0,9069.66,47.38,521.52,2388.03,8149.37,8.3992,392,38.91,23.3539
140,641.71,1588.01,1397.47,554.19,2388.09,9071.97,47.53,521.99,2387.99,8152.41,8.4104,392,38.72,23.3992
141,642.56,1584.06,1405.95,554.37,2387.99,9062.63,47.49,522.03,2388.08,8147.09,8.4209,392,38.88,23.3839
142,642.22,1589.54,1408.17,554.43,2388.03,9067.92,47.5,522.12,2388.02,8150.58,8.4346,393,38.76,23.2755
143,642.17,1591.24,1411.66,553.98,2388.08,9062.89,47.41,521.4,2388.04,8146.2,8.4113,393,39.01,23.3028
144,642.63,1586.99,1401.53,553.87,2388.04,9072.82,47.51,521.75,2388.09,8151.97,8.4157,394,38.87,23.3975
145,642.17,1584.67,1398.66,554.4,2388.07,9068.35,47.44,521.96,2388.08,8149.4,8.3993,393,39.0,23.2129
146,642.78,1586.7,1404.55,554.03,2388.04,9072.51,47.38,521.78,2388.05,8155.41,8.419,394,38.87,23.2878
147,642.68,1589.94,1408.84,553.91,2388.11,9073.7,47.38,521.46,2388.06,8148.28,8.4228,392,38.91,23.3109
148,642.4,1587.34,1405.2,552.93,2388.02,9074.11,47.45,522.17,2388.07,8152.79,8.4309,393,38.9,23.3841
149,642.77,1589.04,1406.22,553.88,2388.07,9073.7,47.46,521.6,2388.07,8149.44,8.4117,393,38.77,23.3419
150,642.53,1586.93,1408.45,553.38,2388.1,9067.38,47.46,521.91,2388.05,8152.07,8.4593,393,38.81,23.3603
151,642.46,1587.8,1399.54,553.87,2388.06,9076.04,47.61,521.64,2388.01,8145.89,8.4323,392,38.86,23.3556
152,642.56,1586.09,1397.99,553.85,2388.09,9072.73,47.36,521.89,2388.01,8152.18,8.4056,392,38.93,23.3601
153,642.4,1587.05,1402.57,554.08,2388.05,9069.91,47.54,521.54,2388.0,8155.54,8.4617,394,38.82,23.3405
154,642.29,1592.89,1415.0,553.96,2388.11,9067.68,47.41,522.12,2388.04,8153.17,8.4617,393,38.86,23.4095
155,642.76,1587.23,1405.93,554.02,2388.01,9074.46,47.42,521.87,2388.04,8144.73,8.438,393,39.0,23.3537
156,642.48,1583.91,1401.34,553.66,2388.06,9072.19,47.59,521.92,2388.04,8148.75,8.4213,395,38.96,23.2509
157,642.3,1589.61,1404.74,553.46,2388.04,9071.29,47.54,521.3,2388.06,8147.32,8.4561,393,38.96,23.3419
158,642.44,1588.62,1403.17,553.79,2388.09,9070.42,47.59,521.71,2388.07,8141.94,8.4214,392,38.97,23.2451
159,642.88,1587.63,1405.59,553.68,2388.08,9062.7,47.62,521.97,2388.04,8148.8,8.4538,393,38.86,23.2677
160,642.12,1587.0,1408.8,553.73,2388.06,9076.13,47.27,521.81,2388.03,8150.01,8.4317,393,39.0,23.2458
161,642.2,1592.83,1407.45,554.02,2388.05,9068.22,47.45,521.95,2388.02,8144.47,8.4413,393,39.02,23.3433
162,642.17,1585.91,1416.62,554.24,2388.09,9072.74,47.64,522.26,2388.08,8148.64,8.4535,393,38.67,23.3432
163,642.44,1594.92,1410.41,553.87,2388.06,9074.77,47.56,521.35,2388.04,8151.31,8.4294,393,38.89,23.3671
164,642.3,1581.71,1413.34,553.68,2388.06,9074.82,47.59,521.42,2388.1,8145.76,8.4141,395,39.16,23.3462
165,642.48,1586.57,1408.63,553.88,2388.05,9067.5,47.34,521.74,2388.11,8152.62,8.4178,393,39.01,23.3804
166,643.11,1585.7,1408.71,553.31,2388.06,9070.34,47.3,521.61,2388.04,8152.91,8.4383,393,38.74,23.3879
167,642.65,1583.62,1401.69,554.11,2388.11,9072.18,47.67,521.65,2388.08,8150.26,8.4419,393,38.9,23.2703
168,642.23,1591.62,1406.7,553.21,2388.03,9068.51,47.43,521.35,2388.05,8154.1,8.4295,393,38.78,23.2428
169,642.73,1591.4,1405.6,554.35,2388.07,9078.0,47.63,522.64,2388.02,8153.92,8.4133,390,38.93,23.3726
170,642.52,1585.68,1410.37,553.16,2388.08,9067.29,47.26,521.78,2388.05,8148.34,8.4452,393,38.87,23.3247
171,642.58,1589.16,1405.96,553.5,2388.13,9067.28,47.35,521.78,2388.13,8143.23,8.4461,393,38.73,23.3403
172,642.92,1595.4,1406.01,553.69,2388.06,9081.88,47.62,521.78,2388.1,8153.61,8.445,393,38.76,23.3599
173,643.01,1587.73,1414.03,552.99,2388.07,9076.38,47.5,521.48,2388.08,8149.05,8.4491,393,38.87,23.2075
174,642.49,1586.42,1397.74,553.78,2388.07,9067.96,47.57,521.19,2388.03,8148.94,8.4332,391,38.72,23.2779
175,642.68,1595.55,1412.11,553.42,2388.08,9077.87,47.66,521.59,2388.13,8151.3,8.4237,394,38.62,23.1631
176,642.28,1597.97,1415.24,553.17,2388.13,9072.06,47.48,521.06,2388.04,8148.21,8.428,393,38.91,23.2682
177,642.84,1591.36,1410.93,553.6,2388.06,9071.16,47.38,521.66,2388.07,8149.93,8.4442,394,38.81,23.3785
178,642.67,1588.09,1411.27,553.2,2388.09,9076.86,47.49,521.47,2388.09,8157.58,8.3954,391,38.66,23.3998
179,643.0,1591.3,1400.94,553.07,2388.04,9072.62,47.7,521.34,2388.1,8151.75,8.4465,393,38.7,23.3864
180,642.74,1591.0,1405.0,553.18,2388.06,9068.39,47.45,522.0,2388.05,8144.06,8.4947,393,39.0,23.2174
181,642.36,1588.42,1412.01,553.78,2388.08,9074.8,47.54,521.47,2388.12,8147.04,8.47,394,38.77,23.2754
182,642.8,1587.9,1408.38,553.55,2388.07,9063.63,47.54,521.48,2388.08,8151.06,8.4141,394,38.94,23.2421
183,642.8,1593.35,1410.52,552.82,2388.07,9075.35,47.54,521.5,2388.05,8147.77,8.4391,392,38.92,23.2958
184,642.51,1598.98,1411.6,553.19,2388.1,9068.83,47.31,521.22,2388.08,8152.73,8.4299,393,38.88,23.2048
185,642.78,1592.49,1404.86,553.48,2388.04,9072.38,47.61,521.51,2388.05,8154.66,8.4591,394,38.89,23.3153
186,642.48,1590.97,1403.32,553.17,2388.08,9076.96,47.7,521.22,2388.07,8146.38,8.4367,393,38.76,23.2934
187,642.86,1592.09,1411.99,553.52,2388.08,9069.43,47.7,521.34,2388.11,8151.22,8.4262,393,38.84,23.2253
188,642.9,1595.07,1412.29,553.51,2388.13,9070.92,47.67,521.14,2388.1,8147.71,8.4576,394,38.8,23.2395
189,642.8,1591.28,1412.55,553.24,2388.07,9077.06,47.42,521.13,2388.08,8151.59,8.4633,393,38.63,23.1979
190,642.69,1587.13,1415.28,553.74,2388.1,9068.88,47.58,521.61,2388.07,8152.4,8.4669,394,38.96,23.257
191,642.46,1591.4,1411.57,553.03,2388.12,9076.52,47.58,520.54,2388.07,8155.78,8.4436,394,38.7,23.2104
192,642.86,1591.21,1410.83,552.67,2388.06,9071.04,47.47,521.58,2388.05,8150.92,8.436,393,38.69,23.3127
193,642.13,1588.41,1409.17,553.42,2388.13,9067.94,47.81,521.3,2388.06,8145.04,8.4052,394,38.75,23.2723
194,642.53,1596.68,1405.47,552.63,2388.07,9076.56,47.47,521.59,2388.13,8151.29,8.4198,395,38.86,23.2208
195,642.42,1590.85,1412.3,552.33,2388.06,9072.35,47.66,521.07,2388.09,8151.7,8.4353,395,38.8,23.2506
196,642.89,1592.59,1414.59,553.03,2388.12,9069.95,47.64,520.89,2388.07,8150.56,8.5004,394,38.67,23.2805
197,642.72,1596.21,1411.61,553.37,2388.06,9070.76,47.54,521.09,2388.1,8158.37,8.4694,395,38.77,23.2351
198,642.67,1593.2,1407.03,552.71,2388.15,9074.19,47.59,521.46,2388.13,8140.93,8.4257,395,38.63,23.2046
199,642.5,1595.0,1406.95,553.53,2388.16,9069.99,47.62,521.57,2388.11,8150.49,8.4145,395,38.72,23.3473
200,642.33,1595.56,1415.32,553.4,2388.1,9079.46,47.71,520.7,2388.09,8142.49,8.4652,394,38.85,23.317
201,642.44,1596.61,1410.91,553.07,2388.08,9073.47,47.44,521.37,2388.11,8158.87,8.4671,393,38.85,23.1116
202,642.91,1598.4,1417.06,553.13,2388.06,9072.36,47.55,521.1,2388.11,8148.87,8.4857,393,38.72,23.3375
203,642.88,1596.16,1411.74,552.47,2388.1,9079.01,47.66,521.47,2388.07,8151.4,8.4414,393,38.89,23.288
204,642.8,1597.85,1417.15,552.96,2388.14,9080.23,47.59,521.02,2388.14,8150.38,8.5011,394,38.65,23.3043
205,642.78,1590.98,1415.44,552.95,2388.11,9076.54,47.58,521.62,2388.1,8147.95,8.4619,393,38.79,23.2074
206,643.48,1586.96,1403.14,553.47,2388.1,9077.9,47.42,520.93,2388.16,8149.08,8.4322,395,38.8,23.2442
207,642.98,1593.97,1413.89,552.98,2388.1,9075.3,47.81,521.11,2388.08,8151.96,8.4815,395,38.88,23.3537
208,642.81,1590.43,1407.37,553.58,2388.13,9074.26,47.65,520.94,2388.09,8142.49,8.4694,395,38.92,23.2286
209,642.67,1595.73,1418.83,552.4,2388.13,9074.58,47.72,520.96,2388.09,8152.83,8.4664,396,38.65,23.3284
210,643.04,1595.21,1418.31,553.14,2388.11,9077.56,47.76,521.08,2388.17,8147.82,8.461,394,38.77,23.2624
211,642.97,1593.87,1419.64,553.14,2388.08,9070.89,47.58,521.24,2388.14,8146.19,8.4667,394,38.49,23.2027
212,642.93,1594.26,1411.21,552.58,2388.08,9081.14,47.84,521.24,2388.09,8151.5,8.4574,395,38.73,23.2246
213,642.51,1599.51,1414.91,553.05,2388.12,9068.6,47.96,521.05,2388.11,8147.45,8.4807,395,38.56,23.1737
214,642.87,1586.43,1415.25,553.41,2388.14,9070.02,47.74,521.44,2388.13,8147.08,8.4723,395,38.66,23.2265
215,642.23,1594.07,1417.42,552.95,2388.1,9079.45,47.94,521.17,2388.07,8149.44,8.4582,394,38.66,23.2131
216,642.94,1592.54,1418.23,553.47,2388.14,9070.43,47.78,520.7,2388.15,8147.65,8.4858,396,38.6,23.2425
